gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_concept_id	interaction_group_score	PMIDs
ATAD5	ATAD5	79915	DTC		DOMPERIDONE	DOMPERIDONE	DOMPERIDONE	chembl:CHEMBL219916	0.04	
CACNB4	O00305	785	TEND		VERAPAMIL	VERAPAMIL	VERAPAMIL	chembl:CHEMBL6966	0.53	
ALDH1A1	ALDH1A1	216	DTC		PIRINIXIC ACID	PIRINIXIC ACID	PIRINIXIC ACID	chembl:CHEMBL295416	0.03	
	Bacterial Botulinum toxin A		TTD		XOMA-3AB	XOMA-3AB				
	Hepatitis C virus Core protein messenger RNA		TTD		US8877733, 27	US8877733, 27				
RAB9A	RAB9A	9367	DTC		NSC-234945	NSC-234945	CHEMBL260311	chembl:CHEMBL260311	0.04	
CYP1A2	CYP1A2	1544	DTC		DEXPROPRANOLOL	DEXPROPRANOLOL	DEXPROPRANOLOL	chembl:CHEMBL275742	0.03	
ALK	ALK	238	MyCancerGenome	inhibitor	ASP3026	ASP3026	ASP-3026	chembl:CHEMBL3545360	2.51	
CYP2C9	CYP2C9	1559	DTC		CYTARABINE	CYTARABINE	CYTARABINE	chembl:CHEMBL803	0.01	22931300
PDK1	Pyruvate dehydrogenase kinase 1	5163	TTD		PMID25684022-Compound-US20120277229 45(1.5)	PMID25684022-Compound-US20120277229 45(1.5)				
VEGFA	VEGFA	7422	NCI		ANTHRACYCLINE	ANTHRACYCLINE				15297400
KDM4A	KDM4A	9682	DTC		CLOFAZIMINE	CLOFAZIMINE	CLOFAZIMINE	chembl:CHEMBL1292	0.03	
IRAK4	51135	51135	GuideToPharmacology	inhibitor	249565762	ND-2110				
TUBA3E	TUBA3E	112714	ChemblInteractions	inhibitor	CHEMBL107	COLCHICINE	COLCHICINE	chembl:CHEMBL107	0.29	
HRH4	59340	59340	GuideToPharmacology	antagonist	178103918	MK-0249	MK-0249	chembl:CHEMBL476323	0.59	
PTGER4	P35408	5734	TdgClinicalTrial		DINOPROSTONE	DINOPROSTONE	DINOPROSTONE	chembl:CHEMBL548	2.72	
HTR2A	5-HT 2A receptor	3356	TTD		ZOTEPINE	ZOTEPINE	ZOTEPINE	chembl:CHEMBL285802	0.06	
HTR2B	3357	3357	GuideToPharmacology	agonist	135650920	RO 60-0175				
BCHE	Cholinesterase	590	TTD		RVT-103+RVT-104	RVT-103+RVT-104				
CHRM2	P08172	1129	TdgClinicalTrial		DOXACURIUM	DOXACURIUM	DOXACURIUM	chembl:CHEMBL1237123	1.92	
RRM1	RRM1	6240	CIViC		VINORELBINE	VINORELBINE	VINORELBINE	chembl:CHEMBL553025	0.52	23038758,24647522
GABRE	P78334	2564	TdgClinicalTrial		CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	chembl:CHEMBL451	0.15	
TUBB	203068	203068	GuideToPharmacology	inhibitor	135652721	PACLITAXEL	PACLITAXEL	chembl:CHEMBL428647	0.19	
GRM2	2912	2912	GuideToPharmacology	allosteric modulator	178102845	COMPOUND 4 [PMID: 21105727]				
RET	RET	5979	CIViC		SORAFENIB	SORAFENIB	SORAFENIB	chembl:CHEMBL1336	0.15	20368568
APLNR	Apelin receptor	187	TTD		AMG 986	AMG 986				
SLC6A4	P31645	6532	TdgClinicalTrial		DULOXETINE	DULOXETINE	DULOXETINE	chembl:CHEMBL1175	0.92	
BRAF	BRAF	673	CIViC		TRAMETINIB DIMETHYL SULFOXIDE	TRAMETINIB DIMETHYL SULFOXIDE				25435907,28480077,28078132
VHL	VHL	7428	JAX-CKB		Everolimus	Everolimus	EVEROLIMUS	chembl:CHEMBL1908360	0.33	26951309
ADRB1	ADRB1	153	DTC		SALMETEROL	SALMETEROL	SALMETEROL	chembl:CHEMBL1263	0.35	
FLT3	2322	2322	GuideToPharmacology	inhibitor	178102285	LINIFANIB	LINIFANIB	chembl:CHEMBL223360	0.04	
CYP2D6	CYP2D6	1565	DTC		FLUNISOLIDE	FLUNISOLIDE	FLUNISOLIDE	chembl:CHEMBL1512	0.02	22931300
DRD2	P14416	1813	TdgClinicalTrial		ASENAPINE	ASENAPINE	ASENAPINE	chembl:CHEMBL3187365	0.11	
PRKCB	P05771	5579	TdgClinicalTrial		BRYOSTATIN	BRYOSTATIN	BRYOSTATIN	chembl:CHEMBL449158	1.06	
RORC	RORC	6097	DTC		DOMIPHEN BROMIDE	DOMIPHEN BROMIDE	DOMIPHEN BROMIDE	chembl:CHEMBL486696	0.1	
TOP2B	DNA topoisomerase II	7155	TTD		Salvicine	Salvicine				
BLM	BLM	641	DTC		5,7-DIHYDROXYISOFLAVONE	5,7-DIHYDROXYISOFLAVONE	5,7-DIHYDROXYISOFLAVONE	chembl:CHEMBL1488393	0.06	
TP53	TP53	7157	DTC		CAULIBUGULONE D	CAULIBUGULONE D	CAULIBUGULONE D	chembl:CHEMBL447876	0.08	
DRD1	DRD1	1812	DTC		PROMAZINE	PROMAZINE	PROMAZINE	chembl:CHEMBL564	0.11	
JAK2	JAK2	3717	MyCancerGenome	inhibitor	RUXOLITINIB	RUXOLITINIB	RUXOLITINIB	chembl:CHEMBL1789941	4.01	
TH	Tyrosine 3-monooxygenase	7054	TTD		L-Phenylalanine	L-Phenylalanine	PHENYLALANINE	chembl:CHEMBL301523	7.96	
HTR2C	5-HT 2C receptor	3358	TTD		PMID26609882-Compound-83	PMID26609882-Compound-83				
AGTR1	P30556	185	TdgClinicalTrial		TASOSARTAN	TASOSARTAN	TASOSARTAN	chembl:CHEMBL432162	10.39	
	Gamma-secretase		TTD		AMG 386	AMG 386				
CYP2D6	CYP2D6	1565	DTC		L-701324	L-701324	CHEMBL31741	chembl:CHEMBL31741	0.05	
PDGFRB	PDGFRB	5159	TALC	inhibitor	PAZOPANIB	PAZOPANIB	PAZOPANIB	chembl:CHEMBL477772	0.12	
PDE4C	DPDE1	5143	ChemblInteractions	inhibitor	CHEMBL1200434	OXTRIPHYLLINE	OXTRIPHYLLINE	chembl:CHEMBL1200434	0.4	
FLT1	FLT1	2321	MyCancerGenomeClinicalTrial	inhibitor	VANDETANIB	VANDETANIB	VANDETANIB	chembl:CHEMBL24828	0.07	
GMNN	GMNN	51053	DTC		DNDI1417601	DNDI1417601	CHEMBL1503729	chembl:CHEMBL1503729	0.01	
BRCA1	BRCA1	672	DTC		DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	chembl:CHEMBL359744	0.02	
HDAC11	Histone deacetylase 11	79885	TTD		PMID29671355-Compound-44	PMID29671355-Compound-44				
GFER	GFER	2671	DTC		TRIMEPRAZINE TARTRATE	TRIMEPRAZINE TARTRATE	TRIMEPRAZINE TARTRATE	chembl:CHEMBL1713082	0.49	
PTEN	PTEN	5728	CIViC		PI3KBETA INHIBITOR AZD8186	PI3KBETA INHIBITOR AZD8186				25544636
CFTR	CFTR	1080	PharmGKB		ivacaftor / tezacaftor	ivacaftor / tezacaftor				
CDKN2A	CDKN2A	1029	JAX-CKB		ON-01910	ON-01910	RIGOSERTIB	chembl:CHEMBL1241855	0.67	25156567
AVPR2	554	554	GuideToPharmacology	antagonist	135652465	SKF-105494				
APOA5	APOA5	116519	PharmGKB		simvastatin	simvastatin	SIMVASTATIN	chembl:CHEMBL1064	0.59	19530961
PRKCQ	5588	5588	GuideToPharmacology	inhibitor	329968392	PKCΘ INHIBITOR 14				
CCR2	1231	729230	GuideToPharmacology	antagonist	178100489	GSK COMPOUND 34				
TNF	TNF	7124	NCI		HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	chembl:CHEMBL1535	0.17	9002011
CCR2	1231	729230	GuideToPharmacology	antagonist	328083530	BMS-681				
GNB3	GNB3	2784	PharmGKB		Thiazides, plain	Thiazides, plain				19247266
LCK	3932	3932	GuideToPharmacology	inhibitor	315661265	ECF506				
ALK	ALK	238	CancerCommons	inhibitor	ASP3026	ASP3026	ASP-3026	chembl:CHEMBL3545360	2.51	
HDAC11	HDAC11	79885	ChemblInteractions	inhibitor	CHEMBL3545368	PANOBINOSTAT LACTATE	PANOBINOSTAT LACTATE	chembl:CHEMBL3545368	0.21	
OPRD1	OPRD1	4985	DTC		SB-0304	SB-0304	CHEMBL409225	chembl:CHEMBL409225	0.98	21978284
KRAS	KRAS	3845	JAX-CKB		GA201	GA201	IMGATUZUMAB	chembl:CHEMBL2109389	0.48	23209031
PDGFRA	PDGFRA	5156	DoCM		IMATINIB	IMATINIB	IMATINIB	chembl:CHEMBL941	0.59	15928335,15685537,22718859,16638875,15146165,12949711,26130666,25157968,24132921,14645423,16954519,18794084,22745105
FURIN	5045	5045	GuideToPharmacology	inhibitor	252166802	MI-1148				
CDC25B	M-phase inducer phosphatase 2	994	TTD		Avastin+/-Tarceva	Avastin+/-Tarceva				
STAT3	STAT3	6774	DTC		NICLOSAMIDE	NICLOSAMIDE	NICLOSAMIDE	chembl:CHEMBL1448	0.1	
KDM4E	KDM4E	390245	DTC		PURPUROGALLIN	PURPUROGALLIN	PURPUROGALLIN	chembl:CHEMBL66953	0.01	
HTR2C	HTR2C	3358	PharmGKB		escitalopram	escitalopram	ESCITALOPRAM	chembl:CHEMBL1508	0.11	21614492
RGS4	RGS4	5999	DTC		METHYLDOPA	METHYLDOPA	METHYLDOPA	chembl:CHEMBL459	0.02	
THPO	THPO	7066	DTC		SB-224289	SB-224289	SB-224289	chembl:CHEMBL281350	0.12	
LIPC	LIPC	3990	NCI		ETHANOL	ETHANOL	ALCOHOL	chembl:CHEMBL545	0.21	7163806
NFE2L2	NFE2L2	4780	DTC		3,3'-DIMETHOXYBENZIDINE	3,3'-DIMETHOXYBENZIDINE	CHEMBL398363	chembl:CHEMBL398363	0.02	
CSNK2A2	Casein kinase II alpha prime	1459	TTD		US8791257, 17	US8791257, 17				
NTRK1	Tropomyosin-related kinase A	4914	TTD		Pyrazolo[1,5-a]pyrimidine derivative 17	Pyrazolo[1,5-a]pyrimidine derivative 17				
HDAC2	HDAC2	3066	DTC		2-ENE-VALPROATE	2-ENE-VALPROATE	CHEMBL117487	chembl:CHEMBL117487	0.27	17566732
KDM5A	Lysine-specific demethylase 5A	5927	TTD		BDBM50158803	BDBM50158803				
MUC1	Mucin-1	4582	TTD		Anti-MUC1 mab	Anti-MUC1 mab				
CYP2C19	CYP2C19	1557	DTC		BIOCHANIN	BIOCHANIN	BIOCHANIN	chembl:CHEMBL131921	0.02	
RAD52	RAD52	5893	DTC		R(-)-APOCODEINE HCL	R(-)-APOCODEINE HCL	CHEMBL1256735	chembl:CHEMBL1256735	0.24	
HDAC1	3065	3065	GuideToPharmacology	inhibitor	310264675	CUDC-101	CUDC-101	chembl:CHEMBL598797	0.36	
ACVR1	ACVR1	90	DTC		OSI-632	OSI-632	OSI-632	chembl:CHEMBL253969	0.08	
ADRA2A	P08913	150	TdgClinicalTrial		AGN-214868	AGN-214868	SENREBOTASE	chembl:CHEMBL3137348	0.12	
HRH1	3269	3269	GuideToPharmacology	antagonist	135650208	DOXEPIN	DOXEPIN	chembl:CHEMBL1628227	0.34	
ABCB1	ABCB1	5243	PharmGKB		antiepileptics	antiepileptics				15452306,17125969,16386926,17306068,21747585,19450124,22630058,22188362,20417680,17521963,16004559,16542858,16753003,24300029,12686700,15857428,25458099,21391884,18812236
EDNRA	1909	1909	GuideToPharmacology	antagonist	178100518	ZIBOTENTAN	ZIBOTENTAN	chembl:CHEMBL1628688	14.14	
TRPC5	7224	7224	GuideToPharmacology	activator	381744970	BTD				
CBX1	CBX1	10951	DTC		PURPURIN	PURPURIN	PURPURIN	chembl:CHEMBL294264	0.02	
DRD2	Dopamine D2 receptor	1813	TTD		Naphazoline	Naphazoline	NAPHAZOLINE	chembl:CHEMBL761	0.18	
GABRR1	P24046	2569	TdgClinicalTrial		TRIAZOLAM	TRIAZOLAM	TRIAZOLAM	chembl:CHEMBL646	0.28	
ITGAL	ITGAL	3683	DTC		CASEARINONE B	CASEARINONE B	CASEARINONE B	chembl:CHEMBL459014	7.49	9322361
EGFR	Epidermal growth factor receptor	1956	TTD		AMG 595	AMG 595				
HSD17B10	HSD17B10	3028	DTC		PYRENE	PYRENE	PYRENE	chembl:CHEMBL279564	0.15	
AR	AR	367	DTC		FLUOCINOLONE ACETONIDE	FLUOCINOLONE ACETONIDE	FLUOCINOLONE ACETONIDE	chembl:CHEMBL989	0.04	
TUBA1A	Q71U36	7846	TdgClinicalTrial		MEBENDAZOLE	MEBENDAZOLE	MEBENDAZOLE	chembl:CHEMBL685	2.12	
DRD2	Dopamine D2 receptor	1813	TTD		Phenylephrine	Phenylephrine	PHENYLEPHRINE	chembl:CHEMBL1215	0.03	
DRD2	1813	1813	GuideToPharmacology	agonist	135650874	QUINPIROLE	QUINPIROLE	chembl:CHEMBL240773	0.25	
PDE3A	Phosphodiesterase 3A	5139	TTD		VESNARINONE	VESNARINONE	VESNARINONE	chembl:CHEMBL17423	0.4	
PPARD	PPARD	5467	DTC		PROPACHLOR	PROPACHLOR	PROPACHLOR	chembl:CHEMBL1394829	0.07	
HDAC6	Histone deacetylase 6	10013	TTD		PMID28092474-Compound-32i	PMID28092474-Compound-32i				
WRN	WRN	7486	DTC		NSC-7387	NSC-7387	CHEMBL119878	chembl:CHEMBL119878	0.11	
GGCX	P38435	2677	TEND		PHYTONADIONE	PHYTONADIONE	PHYTONADIONE	chembl:CHEMBL1550	143.22	
NAT1	NAT1	9	ChemblInteractions	inhibitor	CHEMBL1201023	ORPHENADRINE (CHLORIDE)	ORPHENADRINE HYDROCHLORIDE	chembl:CHEMBL1201023	0.05	
CTH	CTH	1491	PharmGKB		busulfan	busulfan	BUSULFAN	chembl:CHEMBL820	2.5	27779248
KDM4E	Lysine-specific demethylase 4E	390245	TTD		Pyridine-2,4-dicarboxylic acid analog 3	Pyridine-2,4-dicarboxylic acid analog 3				
HTR2C	3358	3358	GuideToPharmacology	antagonist	135651359	ZIPRASIDONE	ZIPRASIDONE	chembl:CHEMBL708	0.25	
LTB4R	BLT	1241	ChemblInteractions	antagonist	CHEMBL1742420	AMELUBANT	AMELUBANT	chembl:CHEMBL1742420	38.19	
SCN4A	SCN4A	6329	ChemblInteractions	blocker	CHEMBL315985	ESLICARBAZEPINE	ESLICARBAZEPINE	chembl:CHEMBL315985	0.1	
KMO	Kynurenine 3-hydroxylase	8564	TTD		Pyrimidine benzenesulfonamide derivative 2	Pyrimidine benzenesulfonamide derivative 2				
ALOX5	Arachidonate 5-lipoxygenase	240	TTD		SKF-105809	SKF-105809				
P2RY14	9934	9934	GuideToPharmacology	agonist	135651587	UDP-GLUCURONIC ACID				
ALDH1A1	ALDH1A1	216	DTC		SU-4312	SU-4312	CHEMBL328710	chembl:CHEMBL328710	0.01	
ROCK2	9475	9475	GuideToPharmacology	inhibitor	178102655	RHO KINASE INHIBITOR IV				
MTHFR	MTHFR	4524	PharmGKB		pravastatin	pravastatin	PRAVASTATIN	chembl:CHEMBL1144	0.15	18622257
NFKB1	NFKB1	4790	DTC		SANGUINARIUM	SANGUINARIUM	SANGUINARIUM	chembl:CHEMBL417799	0.03	
GPR139	G-protein-coupled receptor PGR3	124274	TTD		TAK-041	TAK-041				
MAP2K1	MEK1	5604	ClearityFoundationClinicalTrial		SELUMETINIB	SELUMETINIB	SELUMETINIB	chembl:CHEMBL1614701	0.87	
CLCN2	CLCN2	1181	ChemblInteractions		CHEMBL1201134	LUBIPROSTONE	LUBIPROSTONE	chembl:CHEMBL1201134	148.52	
CHRM3	1131	1131	GuideToPharmacology	agonist	135652666	ARECOLINE	ARECOLINE	chembl:CHEMBL7303	0.32	
PPARG	P37231	5468	TdgClinicalTrial		GTF505	GTF505				
FGFR4	2264	2264	GuideToPharmacology	inhibitor	354702260	DEBIO1347	DEBIO-1347	wikidata:Q27285013	0.44	
GALR1	2587	2587	GuideToPharmacology	agonist	178102728	GAL-B5	CHEMBL506495	chembl:CHEMBL506495	4.55	
CBX1	CBX1	10951	DTC		NICARDIPINE	NICARDIPINE	NICARDIPINE	chembl:CHEMBL1484	0.02	
GRIN2A	NMDAR2A	2903	ChemblInteractions	positive modulator	CHEMBL1255840	NEBOGLAMINE	NEBOGLAMINE	chembl:CHEMBL1255840	0.26	
PDE4B	Q07343	5142	TdgClinicalTrial		RPL-554	RPL-554				
VDR	VDR	7421	DTC		TANSHINONE IIA SULFONATE	TANSHINONE IIA SULFONATE	TANSHINONE IIA SULFONATE	chembl:CHEMBL1473252	0.02	
MAPK11	MAPK11	5600	PharmGKB		sorafenib	sorafenib	SORAFENIB	chembl:CHEMBL1336	0.06	20124951
PROC	Vitamin K-dependent protein C	5624	TTD		Sodium Tetradecyl Sulfate	Sodium Tetradecyl Sulfate				
HDAC11	Q96DB2	79885	TdgClinicalTrial		CUDC-101	CUDC-101	CUDC-101	chembl:CHEMBL598797	0.29	
PIK3CA	5290	5290	GuideToPharmacology	inhibitor	249565638	ALPELISIB	ALPELISIB	chembl:CHEMBL2396661	0.3	
CYP2C19	CYP2C19	1557	DTC		MESTRANOL	MESTRANOL	MESTRANOL	chembl:CHEMBL1201151	0.03	22931300
AKR1B1	Adrenergic receptor	231	TTD		Ovine corticotropin-releasing hormone	Ovine corticotropin-releasing hormone				
PTEN	PTEN	5728	CIViC		TEMSIROLIMUS	TEMSIROLIMUS	TEMSIROLIMUS	chembl:CHEMBL1201182	0.26	11504908,23674493
GFAP	GFAP	2670	NCI		IMMUNOTOXIN	IMMUNOTOXIN				17267125
AR	AR	367	DTC		4-CHLOROMERCURIBENZOIC ACID	4-CHLOROMERCURIBENZOIC ACID	4-CHLOROMERCURIBENZOIC ACID	chembl:CHEMBL575867	0.0	
PIK3R1	PIK3R1	5295	ClearityFoundationBiomarkers		ZSTK474	ZSTK474				
PAX8	PAX8	7849	DTC		DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	chembl:CHEMBL359744	0.03	
GPBAR1	151306	151306	GuideToPharmacology	agonist	135651505	LITHOCHOLIC ACID				
PTGER4	5734	5734	GuideToPharmacology	agonist	178102483	TCS 2510				
AR	DHTR	367	ChemblInteractions	agonist	CHEMBL2107067	TESTOSTERONE UNDECANOATE	TESTOSTERONE UNDECANOATE	chembl:CHEMBL2107067	0.07	
CYP2C19	CYP2C19	1557	DTC		NSC-348401	NSC-348401	CHEMBL515505	chembl:CHEMBL515505	0.01	
IDH1	IDH1	3417	DTC		GNF-PF-67	GNF-PF-67	CHEMBL578512	chembl:CHEMBL578512	0.01	
ADAMTS5	11096	11096	GuideToPharmacology	inhibitor	252166754	COMPOUND 15C [PMID: 21536437]				
ALPL	ALPL	249	DTC		5,7,3',5'-TETRAHYDROXYFLAVANONE	5,7,3',5'-TETRAHYDROXYFLAVANONE	CHEMBL307893	chembl:CHEMBL307893	0.21	
ABL1	P00519	25	TEND		DASATINIB	DASATINIB	DASATINIB	chembl:CHEMBL1421	0.59	
HTR1A	3350	3350	GuideToPharmacology	agonist	135650131	CP 93129				
